route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
01,IRIGO,1,TRÉLAZÉ Quantinière <> ANGERS Lorraine,3,008E8C,FFFFFF
02,IRIGO,2,BEAUCOUZÉ Haute Roche <> ST-BARTHÉLEMY Venaiseraie,3,9B1670,FFFFFF
03,IRIGO,3,MÛRS-ÉRIGNÉ Soland <> AVRILLÉ Adézière,3,F18700,FFFFFF
04,IRIGO,4,BEAUCOUZÉ L'Hoirie <> ANGERS Parc Expo,3,009EE1,FFFFFF
05,IRIGO,5,ANGERS AquaVita sens b <> ANGERS AquaVita sens a,3,FFDD00,000000
06,IRIGO,6,BOUCHEMAINE Chantourteau <> ANGERS CHU-Hôpital,3,291F6C,FFFFFF
07,IRIGO,7,MONTREUIL-JUIGNÉ Béné <> ST-SYLVAIN St-Aubin La Salle,3,AE0F0A,FFFFFF
08,IRIGO,8,STE-GEMMES Roche Morna <> LES PONTS-DE-CÉ Moulin Marcille / Floriloire,3,E50076,FFFFFF
09,IRIGO,9,LES PONTS-DE-CÉ Moulin Marcille <> ÉCOUFLANT Éventard,3,E94F35,FFFFFF
10,IRIGO,10,LES PONTS-DE-CÉ Sorges / TRÉLAZÉ St-Lézin / Trélazé Gare <> ST-SYLVAIN Chêne Vert,3,7263A9,FFFFFF
11,IRIGO,11,ANGERS Lorraine <> ANGERS Parc Expo,3,7B5C4D,FFFFFF
12,IRIGO,12,ÉCOUFLANT Veillière <> ANGERS Monplaisir,3,127C29,FFFFFF
30,IRIGO,30,BAUNÉ Louise Michel / SARRIGNÉ Les Plantes <> ANGERS Hôtel de Ville,3,E6007E,FFFFFF
31,IRIGO,31,BRIOLLAY Vérigné / SOUCELLES Stade <> ANGERS Hôtel de Ville,3,008530,FFFFFF
32,IRIGO,32,SOUCELLES L'Hermitage <> ANGERS Hôtel de Ville,3,0063AF,FFFFFF
33,IRIGO,33,FENEU ZA Feneu / Croix de Beauvais <> ANGERS Le Quai,3,951B81,FFFFFF
34,IRIGO,34,PRUILLÉ Bois des Dames <> ANGERS Le Quai / AVRILLÉ Terra Botanica,3,F39200,FFFFFF
35,IRIGO,35,ST-LÉGER La Coudre / Les Essarts <> ANGERS Le Quai,3,00A6E2,FFFFFF
36,IRIGO,36,ST-MARTIN Beau Soleil <> ANGERS Le Quai,3,D2091E,FFFFFF
37,IRIGO,37,ECUILLÉ Mairie <> ANGERS Le Quai,3,9CA61F,FFFFFF
38,IRIGO,38,ST-CLÉMENT Moulin <> ANGERS Le Quai,3,008E8C,FFFFFF
39,IRIGO,39,BÉHUARD Bourg / STE-GEMMES Le Fresne <> ANGERS Gare routière Sémard,3,E84E0F,FFFFFF
41,IRIGO,41,SOULAINES Haute-Marzelle <> ANGERS Gare routière Esplanade,3,DEA600,FFFFFF
42,IRIGO,42,ST-MATHURIN Grand Chemin / St-Mathurin Mairie <> ANGERS Gare routière Esplanade,3,291F6C,FFFFFF
101,IRIGO,101,Jeanne d'Arc,3,484F54,FFFFFF
102,IRIGO,102,Jeanne d'Arc,3,484F54,FFFFFF
103,IRIGO,103,Jeanne d'Arc,3,484F54,FFFFFF
104,IRIGO,104,Jeanne d'Arc,3,484F54,FFFFFF
105,IRIGO,105,Jeanne d'Arc,3,484F54,FFFFFF
111,IRIGO,111,St-Aubin-la-Salle,3,484F54,FFFFFF
112,IRIGO,112,St-Aubin-la-Salle,3,484F54,FFFFFF
113,IRIGO,113,St-Aubin-la-Salle,3,484F54,FFFFFF
114,IRIGO,114,St-Aubin-la-Salle,3,484F54,FFFFFF
121,IRIGO,121,Debussy,3,484F54,FFFFFF
123,IRIGO,123,Debussy,3,484F54,FFFFFF
131,IRIGO,131,Mounier,3,484F54,FFFFFF
132,IRIGO,132,Mounier,3,484F54,FFFFFF
133,IRIGO,133,Mounier,3,484F54,FFFFFF
141,IRIGO,141,Venaiserie,3,484F54,FFFFFF
142,IRIGO,142,Venaiserie,3,484F54,FFFFFF
143,IRIGO,143,Venaiserie,3,484F54,FFFFFF
144,IRIGO,144,Venaiserie,3,484F54,FFFFFF
145,IRIGO,145,Venaiserie,3,484F54,FFFFFF
146,IRIGO,146,Venaiserie,3,484F54,FFFFFF
147,IRIGO,147,Venaiserie,3,484F54,FFFFFF
148,IRIGO,148,Venaiserie,3,484F54,FFFFFF
149,IRIGO,149,Venaiserie,3,484F54,FFFFFF
151,IRIGO,151,Millot,3,484F54,FFFFFF
153,IRIGO,153,Millot,3,484F54,FFFFFF
154,IRIGO,154,Millot,3,484F54,FFFFFF
155,IRIGO,155,Millot,3,484F54,FFFFFF
156,IRIGO,156,Millot,3,484F54,FFFFFF
158,IRIGO,158,Millot,3,484F54,FFFFFF
159,IRIGO,159,Millot,3,484F54,FFFFFF
161,IRIGO,161,Villon,3,484F54,FFFFFF
162,IRIGO,162,Villon,3,484F54,FFFFFF
163,IRIGO,163,Villon,3,484F54,FFFFFF
165,IRIGO,165,Villon,3,484F54,FFFFFF
166,IRIGO,166,Villon,3,484F54,FFFFFF
172,IRIGO,172,Chevrolier,3,484F54,FFFFFF
173,IRIGO,173,Mermoz,3,484F54,FFFFFF
176,IRIGO,176,Narcé,3,484F54,FFFFFF
181,IRIGO,181,Monprofit,3,484F54,FFFFFF
185,IRIGO,185,Monprofit,3,484F54,FFFFFF
192,IRIGO,192,La Barre,3,484F54,FFFFFF
193,IRIGO,193,La Barre,3,484F54,FFFFFF
195,IRIGO,195,Monnet,3,484F54,FFFFFF
201,IRIGO,201,Jean Zay,3,484F54,FFFFFF
202,IRIGO,202,Jean Zay,3,484F54,FFFFFF
203,IRIGO,203,Jean Zay,3,484F54,FFFFFF
204,IRIGO,204,Jean Zay,3,484F54,FFFFFF
205,IRIGO,205,Jean Zay,3,484F54,FFFFFF
206,IRIGO,206,Jean Zay,3,484F54,FFFFFF
207,IRIGO,207,Jean Zay,3,484F54,FFFFFF
211,IRIGO,211,Joachim Du Bellay,3,484F54,FFFFFF
212,IRIGO,212,Joachim Du Bellay,3,484F54,FFFFFF
213,IRIGO,213,St-Aubin-la-Salle,3,484F54,FFFFFF
A,IRIGO,A,Roseraie <> Avrillé-Ardenne,0,E30613,FFFFFF
NavM,IRIGO,NavM,ANGERS Navette Marché,3,DEDC03,484F54
NUIT,IRIGO,NUIT,ANGERS Mail Circulaire,3,241D4C,FFFFFF
20,IRIGO,E20,BEAUCOUZÉ L'Atoll <> ANGERS Gares Papin,3,E7343F,FFFFFF
21,IRIGO,E21,MONTREUIL-JUIGNÉ Domaine du Val <> ANGERS Gares Papin,3,95C11F,FFFFFF
22,IRIGO,E22,BOUCHEMAINE Chantourteau <> ANGERS Gares Papin,3,C94191,FFFFFF
23,IRIGO,E23,MÛRS-ÉRIGNÉ Guicheteau <> ANGERS Hôtel de Ville,3,F08046,FFFFFF
24,IRIGO,E24,CORNÉ Royale <> ANGERS Hôtel de Ville,3,00A7A7,FFFFFF
40,IRIGO,40,CORNÉ Royale <> ANGERS Gare routière Esplanade / Saumuroise / TRÉLAZÉ Gare,3,7263A9,FFFFFF
B,IRIGO,B,Monplaisir <> Beille-Beille Campus,0,00569D,FFFFFF
C,IRIGO,C,Roseraie <> Beille-Beille Campus,0,379E31,FFFFFF
301,IRIGO,301,ESAT Brunelleries,3,484F54,FFFFFF
302,IRIGO,302,ESAT Bejonnières,3,484F54,FFFFFF
106,IRIGO,106,Jeanne d'Arc,3,484F54,FFFFFF
210,IRIGO,210,Janequin,3,484F54,FFFFFF
220,IRIGO,220,MFR La Meignanne,3,484F54,FFFFFF
221,IRIGO,221,Collège Janequin,3,484F54,FFFFFF
351,IRIGO,351,Andard,3,484F54,FFFFFF
352,IRIGO,352,Bauné,3,484F54,FFFFFF
353,IRIGO,353,Villevèque,3,484F54,FFFFFF
354,IRIGO,354,Soucelles,3,484F54,FFFFFF
355,IRIGO,355,Savennières,3,484F54,FFFFFF
182,IRIGO,182,,3,484F54,FFFFFF
140,IRIGO,140,Venaiserie 140,3,484F54,FFFFFF
